"","site","box","x","y","rugosity","rugosity_theory","fractal","fractal_theory","height","latitude","longitude","SEC_NAME","REGION","REEF_ZONE","DEPTH_BIN","depth","habitat","wave_max","age","CORAL"
"90","HAW-3732",3,16.995093056,-1.47889846,1.93780930105707,1.43058644558887,2.22210693606203,2.23256614390121,0.843896204344021,19.92419,-155.8934,"HAW_KONA","MHI","Forereef","Mid",10.33564900608,"AGR",33.972111,0.30000001,31.3380281690141
"91","HAW-3735",4,9.05806337,-0.228123494,2.72403161395669,1.84650088738106,2.34981951598013,2.32659818108974,0.778040407966895,19.58591,-155.9731,"HAW_KONA","MHI","Forereef","Mid",15.00792869376,"AGR",33.458649,0.30000001,18.0147058823529
"92","HAW-3735",3,7.58606337,-0.830123494,3.7753437874693,2.4958912267303,2.36328328643479,2.3446726035956,1.04153041568729,19.58591,-155.9731,"HAW_KONA","MHI","Forereef","Mid",15.00792869376,"AGR",33.458649,0.30000001,18.0147058823529
"93","HAW-3735",1,6.41006337,-1.618123494,4.07942494381266,2.67584927030264,2.40463236769714,2.3852932678115,0.911527870013651,19.58591,-155.9731,"HAW_KONA","MHI","Forereef","Mid",15.00792869376,"AGR",33.458649,0.30000001,18.0147058823529
"94","HAW-3735",5,14.38006337,-1.876123494,3.85330787307041,2.51375396664031,2.39314289605819,2.37382228913203,0.90008187149941,19.58591,-155.9731,"HAW_KONA","MHI","Forereef","Mid",15.00792869376,"AGR",33.458649,0.30000001,18.0147058823529
"95","HAW-3735",2,7.48806337,-1.406123494,3.66338064070163,2.40402521717751,2.39086743736364,2.38072574207024,0.822559796829595,19.58591,-155.9731,"HAW_KONA","MHI","Forereef","Mid",15.00792869376,"AGR",33.458649,0.30000001,18.0147058823529
"96","HAW-3745",5,16.048154923,-1.293299935,4.74753274260925,3.02890979065796,2.46691812827462,2.45020069524752,0.744465935093776,19.63297,-155.9964,"HAW_KONA","MHI","Forereef","Mid",14.58317599488,"AGR",20.044565,0.30000001,20.746887966805
"97","HAW-3745",1,13.618154923,-0.553299935,4.6312012311903,3.01847706303497,2.38209690348874,2.37704308448685,1.09269813707402,19.63297,-155.9964,"HAW_KONA","MHI","Forereef","Mid",14.58317599488,"AGR",20.044565,0.30000001,20.746887966805
"98","HAW-3745",3,4.542154923,-1.339299935,4.77129607661118,3.04348544946929,2.38507977504383,2.3729413264285,1.1270924274673,19.63297,-155.9964,"HAW_KONA","MHI","Forereef","Mid",14.58317599488,"AGR",20.044565,0.30000001,20.746887966805
"99","HAW-3745",2,16.906154923,-0.857299935,4.79785634268625,3.08467049643502,2.45035380267466,2.43574043263365,0.820333433351792,19.63297,-155.9964,"HAW_KONA","MHI","Forereef","Mid",14.58317599488,"AGR",20.044565,0.30000001,20.746887966805
"100","HAW-3745",4,11.674154923,0.400700065,4.02107091027607,2.5914744562515,2.41018704370684,2.3976780909663,0.822265378649362,19.63297,-155.9964,"HAW_KONA","MHI","Forereef","Mid",14.58317599488,"AGR",20.044565,0.30000001,20.746887966805
"101","HAW-3751",2,10.132241053,-1.129482111,2.16953510363042,1.53490603458042,2.25747074057109,2.24893845446478,0.880744265251045,19.67757,-156.0359,"HAW_KONA","MHI","Forereef","Mid",14.01683906304,"AGR",31.272677,0.30000001,2.78745644599303
"102","HAW-3751",3,16.252241053,-0.707482111,1.7621588084383,1.30389743982255,2.21215682626979,2.16864610910598,0.968456970970923,19.67757,-156.0359,"HAW_KONA","MHI","Forereef","Mid",14.01683906304,"AGR",31.272677,0.30000001,2.78745644599303
"103","HAW-3751",5,7.058241053,-1.181482111,2.14886477767783,1.5078610645588,2.21768133775682,2.20273927588298,1.09033520318891,19.67757,-156.0359,"HAW_KONA","MHI","Forereef","Mid",14.01683906304,"AGR",31.272677,0.30000001,2.78745644599303
